,,rank1,rank2,rank3,rank4,rank5
Mean,tax,0.7818181818181819,0.8272727272727274,0.8668831168831168,0.9967532467532468,0.9311688311688313
Mean,transit,0.9863636363636366,0.9655844155844155,1.0175324675324675,1.0246753246753246,1.0987012987012987
Mean,driver,0.5792207792207792,0.5681818181818181,0.4928571428571429,0.5240259740259741,0.4928571428571429
Entropy,tax,1.3408213519355328,1.3370532352225504,1.4185589725795793,1.4264311279421182,1.5487371377421584
Entropy,transit,1.0442881282737582,1.0165463469956015,1.0734253423075932,1.1829341881375608,1.3848588826457464
Entropy,driver,1.283162239119473,1.33088536857577,1.3560631119310629,1.2681975680642208,1.413629142623392
