Rank,Aspect,Mean,Entropy
rank1,tax,0.782,1.34
rank1,transit,0.986,1.04
rank1,driver,0.579,1.28
rank2,tax,0.827,1.34
rank2,transit,0.966,1.02
rank2,driver,0.568,1.33
rank3,tax,0.867,1.42
rank3,transit,1.018,1.07
rank3,driver,0.493,1.36
rank4,tax,0.997,1.43
rank4,transit,1.025,1.18
rank4,driver,0.524,1.27
rank5,tax,0.931,1.55
rank5,transit,1.099,1.38
rank5,driver,0.493,1.41
