,,Winning,rank1,rank2,rank3,rank4,rank5
Mean,tax,0.5,0.6352272727272726,0.9284090909090909,0.7914772727272726,0.9994318181818181,1.2653409090909091
Mean,transit,0.75,0.7852272727272728,0.9363636363636363,1.2130681818181817,1.2102272727272727,1.24375
Mean,driver,1.0,0.8954545454545455,0.8244318181818182,0.7960227272727273,0.6329545454545454,0.634090909090909
Entropy,tax,,0.9167922171888586,1.0316839085246774,1.33302289235495,1.1423750613374075,1.2487031670112052
Entropy,transit,,0.28775354582372503,0.9650906521674834,1.0703875418265878,0.9225087561337567,1.2778045579670385
Entropy,driver,,0.7384536924903204,0.9311207206650074,1.0065138599108248,0.8999734523245941,1.0591678802867592
