,,Winning,rank1,rank2,rank3,rank4,rank5
Mean,tax,0.9,0.970066168009206,0.8640319332566169,1.0512802071346377,0.9568037974683545,0.9893340046029919
Mean,transit,0.75,0.8886651323360184,0.9580120828538549,0.9239067894131185,1.072231012658228,1.0965621403912542
Mean,driver,0.5,0.604135500575374,0.6360831415420022,0.6165707710011508,0.6259205983889528,0.6801711737629459
Entropy,tax,,1.488693385231508,1.4797752794795205,1.493752374430351,1.393721031731654,1.5585480246062513
Entropy,transit,,0.9382383101514093,1.1204018512797214,1.0305493620043915,1.2969303950731086,1.3852782687055791
Entropy,driver,,1.3090004045801948,1.206796531202976,1.285970686390638,1.311239831529964,1.2160212559105186
