,,Winning,rank1,rank2,rank3,rank4,rank5
Mean,tax,1.0,0.9987012987012989,0.9993506493506494,1.2727272727272727,1.2025974025974024,1.261688311688312
Mean,transit,0.75,0.7720779220779221,1.0233766233766235,0.9487012987012985,0.9753246753246755,1.061038961038961
Mean,driver,0.6,0.7214285714285713,0.7961038961038961,0.5103896103896104,0.6623376623376622,0.6240259740259742
Entropy,tax,,0.0200001886020647,0.01000009430103235,1.089638678292527,1.2241323395174053,1.0727357182678943
Entropy,transit,,0.25236023006227726,0.9884383588911099,0.9816220692542647,1.0007158411455523,1.261019832214108
Entropy,driver,,0.9811055957610506,0.9674929084210412,0.13796907098918834,0.9028058063197152,0.8001888697863444
